# commit: 071ee670109eecee3fde0862813132b404b6426a
# spec_sha256: 72c494e5c8fb78b58130275e379db2640b88dace9f0ae67dd922f8e14fca2026
"induction_window_weeks","maintenance_cap","lambda_usd_per_qaly","h_per_year","pi_cure","price_star_usd_per_course"
4,"on",1e+05,0.05,0.82,137623.708447887
4,"on",1e+05,0.05,0.83,139334.620512159
4,"on",1e+05,0.05,0.84,141045.532576413
4,"on",1e+05,0.05,0.85,142756.444640665
4,"on",1e+05,0.05,0.86,144467.356704926
4,"on",1e+05,0.05,0.87,146178.268769191
4,"on",1e+05,0.05,0.88,147889.180833443
4,"on",1e+05,0.05,0.89,149600.092897707
4,"on",1e+05,0.05,0.9,151311.004961958
4,"on",1e+05,0.05,0.91,153021.917026231
4,"on",1e+05,0.05,0.92,154732.829090481
4,"on",1e+05,0.05,0.93,156443.741154745
4,"on",1e+05,0.05,0.94,158154.653219006
4,"on",1e+05,0.05,0.95,159865.565283264
4,"on",1e+05,0.05,0.96,161576.477347519
4,"on",1e+05,0.05,0.97,163287.389411784
4,"on",1e+05,0.05,0.98,164998.301476041
4,"on",1e+05,0.05,0.99,166709.213540295
4,"on",1e+05,0.05,1,168420.125604565
4,"on",1e+05,0.1,0,-2671.08082138491
4,"on",1e+05,0.1,0.01,-1583.09832744044
4,"on",1e+05,0.1,0.02,-495.11583347572
4,"on",1e+05,0.1,0.03,592.866660484346
4,"on",1e+05,0.1,0.04,1680.84915443207
4,"on",1e+05,0.1,0.05,2768.83164838143
4,"on",1e+05,0.1,0.06,3856.81414234638
4,"on",1e+05,0.1,0.07,4944.7966362969
4,"on",1e+05,0.1,0.08,6032.77913025278
4,"on",1e+05,0.1,0.09,7120.7616241998
4,"on",1e+05,0.1,0.1,8208.74411816685
4,"on",1e+05,0.1,0.11,9296.72661210806
4,"on",1e+05,0.1,0.12,10384.7091060618
4,"on",1e+05,0.1,0.13,11472.6916000231
4,"on",1e+05,0.1,0.14,12560.6740939692
4,"on",1e+05,0.1,0.15,13648.6565879274
4,"on",1e+05,0.1,0.16,14736.6390818905
4,"on",1e+05,0.1,0.17,15824.621575837
4,"on",1e+05,0.1,0.18,16912.6040698022
4,"on",1e+05,0.1,0.19,18000.5865637537
4,"on",1e+05,0.1,0.2,19088.5690577084
4,"on",1e+05,0.1,0.21,20176.5515516645
4,"on",1e+05,0.1,0.22,21264.5340456176
4,"on",1e+05,0.1,0.23,22352.5165395809
4,"on",1e+05,0.1,0.24,23440.4990335226
4,"on",1e+05,0.1,0.25,24528.4815274749
4,"on",1e+05,0.1,0.26,25616.4640214283
4,"on",1e+05,0.1,0.27,26704.4465153778
4,"on",1e+05,0.1,0.28,27792.4290093482
4,"on",1e+05,0.1,0.29,28880.4115033038
4,"on",1e+05,0.1,0.3,29968.3939972487
4,"on",1e+05,0.1,0.31,31056.3764912041
4,"on",1e+05,0.1,0.32,32144.3589851612
4,"on",1e+05,0.1,0.33,33232.3414791075
4,"on",1e+05,0.1,0.34,34320.323973075
4,"on",1e+05,0.1,0.35,35408.3064670172
4,"on",1e+05,0.1,0.36,36496.2889609856
4,"on",1e+05,0.1,0.37,37584.2714549373
4,"on",1e+05,0.1,0.38,38672.253948892
4,"on",1e+05,0.1,0.39,39760.2364428407
4,"on",1e+05,0.1,0.4,40848.2189367968
4,"on",1e+05,0.1,0.41,41936.2014307452
4,"on",1e+05,0.1,0.42,43024.1839247015
4,"on",1e+05,0.1,0.43,44112.1664186611
4,"on",1e+05,0.1,0.44,45200.1489126056
4,"on",1e+05,0.1,0.45,46288.1314065685
4,"on",1e+05,0.1,0.46,47376.1139005108
4,"on",1e+05,0.1,0.47,48464.0963944742
4,"on",1e+05,0.1,0.48,49552.078888431
4,"on",1e+05,0.1,0.49,50640.0613823945
4,"on",1e+05,0.1,0.5,51728.0438763404
4,"on",1e+05,0.1,0.51,52816.0263702888
4,"on",1e+05,0.1,0.52,53904.0088642538
4,"on",1e+05,0.1,0.53,54991.9913582006
4,"on",1e+05,0.1,0.54,56079.9738521599
