# commit: a97e75530ae93c0683ff5c53496ee5df0a088578
# spec_sha256: a85c11b0f32710be93f7ffc049a0cf15d689ac7bef6e9d8aaeaebf2be8c981b7
"leg","maintenance_cap","induction_window_weeks","h_per_year","pi_cure","lambda_usd_per_qaly","price_source","price_usd_per_course","arrangement","installment_length_years","installment_financing_rate_per_year","rebate_share","outcome_observation_years","reporting_horizon","reporting_horizon_years","discounted","route_model_usd","route_independent_usd","agreement_usd","route_model_share","route_independent_share","agreement_share","timing_gap_closed_share"
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"30yr",30,FALSE,-615179690.006838,-615179690.006836,-1.54972076416016e-06,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"30yr",30,FALSE,-1.9073486328125e-06,0,-1.9073486328125e-06,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"30yr",30,FALSE,-304648646.025429,-304648646.025429,4.17232513427734e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"30yr",30,FALSE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_pv_neutral_5yr",5,0.03,NA,NA,"1yr",1,TRUE,681829659.678081,681829659.678081,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_interest_free_5yr",5,0,NA,NA,"1yr",1,TRUE,692208222.677024,692208222.677024,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_pv_neutral_3yr",3,0.03,NA,NA,"1yr",1,TRUE,568274083.614141,568274083.614141,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_interest_free_3yr",3,0,NA,NA,"1yr",1,TRUE,576840185.564187,576840185.564187,1.19209289550781e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_pv_neutral_5yr",5,0.03,NA,NA,"3yr",3,TRUE,1462600170.17093,1462600170.17093,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_interest_free_5yr",5,0,NA,NA,"3yr",3,TRUE,1522479655.75885,1522479655.75885,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_pv_neutral_3yr",3,0.03,NA,NA,"3yr",3,TRUE,807437265.533573,807437265.533573,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_interest_free_3yr",3,0,NA,NA,"3yr",3,TRUE,856859693.119617,856859693.119617,-1.19209289550781e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_pv_neutral_5yr",5,0.03,NA,NA,"5yr",5,TRUE,1536869800.08966,1536869800.08966,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_interest_free_5yr",5,0,NA,NA,"5yr",5,TRUE,1680846801.13849,1680846801.13849,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_pv_neutral_3yr",3,0.03,NA,NA,"5yr",5,TRUE,761087063.374091,761087063.37409,3.57627868652344e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_interest_free_3yr",3,0,NA,NA,"5yr",5,TRUE,856859693.119617,856859693.119617,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_pv_neutral_5yr",5,0.03,NA,NA,"10yr",10,TRUE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_interest_free_5yr",5,0,NA,NA,"10yr",10,TRUE,230933585.272406,230933585.272406,-3.87430191040039e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_pv_neutral_3yr",3,0.03,NA,NA,"10yr",10,TRUE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_interest_free_3yr",3,0,NA,NA,"10yr",10,TRUE,117724994.849916,117724994.849917,-5.96046447753906e-08,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_pv_neutral_5yr",5,0.03,NA,NA,"30yr",30,TRUE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_interest_free_5yr",5,0,NA,NA,"30yr",30,TRUE,230933585.272407,230933585.272406,8.94069671630859e-08,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_pv_neutral_3yr",3,0.03,NA,NA,"30yr",30,TRUE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_interest_free_3yr",3,0,NA,NA,"30yr",30,TRUE,117724994.849916,117724994.849917,-5.96046447753906e-08,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_pv_neutral_5yr",5,0.03,NA,NA,"1yr",1,FALSE,681829659.678081,681829659.678081,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_interest_free_5yr",5,0,NA,NA,"1yr",1,FALSE,692208222.677024,692208222.677024,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_pv_neutral_3yr",3,0.03,NA,NA,"1yr",1,FALSE,568274083.614141,568274083.614141,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_interest_free_3yr",3,0,NA,NA,"1yr",1,FALSE,576840185.564187,576840185.564187,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_pv_neutral_5yr",5,0.03,NA,NA,"3yr",3,FALSE,1495197123.02965,1495197123.02965,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_interest_free_5yr",5,0,NA,NA,"3yr",3,FALSE,1557468501.0233,1557468501.0233,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_pv_neutral_3yr",3,0.03,NA,NA,"3yr",3,FALSE,813863666.646006,813863666.646006,3.57627868652344e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_interest_free_3yr",3,0,NA,NA,"3yr",3,FALSE,865260278.346281,865260278.34628,3.57627868652344e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_pv_neutral_5yr",5,0.03,NA,NA,"5yr",5,FALSE,1574842111.70841,1574842111.70841,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_interest_free_5yr",5,0,NA,NA,"5yr",5,FALSE,1730520556.69256,1730520556.69256,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_pv_neutral_3yr",3,0.03,NA,NA,"5yr",5,FALSE,762467054.945732,762467054.945732,0,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_interest_free_3yr",3,0,NA,NA,"5yr",5,FALSE,865260278.34628,865260278.34628,1.19209289550781e-07,NA,NA,NA,NA
"T19b_installment_delta","on",8,0,0.5,1e+05,"frontier_P_star",173052.055669256,"installment_pv_neutral_5yr",5,0.03,NA,NA,"10yr",10,FALSE,-259464074.973577,-259464074.973577,-4.17232513427734e-07,NA,NA,NA,NA
